chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
9,450,A6,250,,,,1,0,0,0,0
9,451,A6,250,,,,1,0,0,0,0
9,452,A6,250,,,,1,0,0,0,0
9,453,A6,250,,,,1,0,0,0,0
9,454,A6,250,,,,1,0,0,0,0
9,455,A6,250,,,,1,0,0,0,0
9,456,A6,250,,,,1,0,0,0,0
9,457,A6,250,,,,1,0,0,0,0
9,458,A6,250,,,,1,0,0,0,0
9,459,A6,250,,,,1,0,0,0,0
9,460,A6,250,,,,1,0,0,0,0
9,461,A6,250,,,,1,0,0,0,0
9,462,A6,250,,,,1,0,0,0,0
9,463,A6,250,,,,1,0,0,0,0
9,464,A6,250,,,,0,1,0,0,0
9,465,A6,250,,,,0,1,0,0,0
9,466,A6,250,,,,1,0,0,0,0
9,467,A6,250,,,,1,0,0,0,0
9,468,A6,250,,,,1,0,0,0,0
9,469,A6,250,,,,0,1,0,0,0
9,470,A6,250,,,,1,0,0,0,0
9,471,A6,250,,,,1,0,0,0,0
9,472,A6,250,,,,1,0,1,0,0
9,473,A6,250,,,,1,0,0,0,0
9,474,A6,250,,,,1,0,0,0,0
9,475,A6,250,,,,1,0,0,0,0
9,476,A6,250,,,,1,0,0,0,0
9,477,A6,250,,,,1,0,0,0,0
9,478,A6,250,,,,1,0,0,0,0
9,479,A6,250,,,,1,0,0,0,0
9,480,A6,250,,,,1,0,0,0,0
9,481,A6,250,,,,1,0,0,0,0
9,482,A6,250,,,,1,0,0,0,0
9,483,A6,250,,,,1,0,0,0,0
9,484,A6,250,,,,1,0,0,0,0
9,485,A6,250,,,,1,0,0,0,0
9,486,A6,250,,,,1,0,0,0,0
9,487,A6,250,,,,1,0,0,0,0
9,488,A6,250,,,,0,1,0,0,0
9,489,A6,250,,,,0,1,0,0,0
9,490,A6,250,,,,1,0,0,0,0
9,491,A6,250,,,,0,1,0,0,0
9,492,A6,250,,,,0,1,0,0,0
9,493,A6,250,,,,1,0,0,0,0
9,494,A6,250,,,,1,0,0,0,0
9,495,A6,250,,,,1,0,0,0,0
9,496,A6,250,,,,1,0,0,0,0
9,497,A6,250,,,,1,0,0,0,0
9,498,A6,250,,,,0,1,0,0,0
9,499,A6,250,,,,0,1,0,0,0
9,450,A6,500,,,,1,0,0,0,0
9,451,A6,500,,,,1,0,0,0,0
9,452,A6,500,,,,1,0,0,0,0
9,453,A6,500,,,,0,1,0,0,0
9,454,A6,500,,,,1,0,0,0,0
9,455,A6,500,,,,1,0,0,0,0
9,456,A6,500,,,,1,0,0,0,0
9,457,A6,500,,,,1,0,0,0,0
9,458,A6,500,,,,1,0,0,0,0
9,459,A6,500,,,,1,0,0,0,0
9,460,A6,500,,,,1,0,0,0,0
9,461,A6,500,,,,1,0,0,0,0
9,462,A6,500,,,,1,0,0,0,0
9,463,A6,500,,,,1,0,0,0,0
9,464,A6,500,,,,1,0,1,0,0
9,465,A6,500,,,,1,0,0,0,0
9,466,A6,500,,,,1,0,0,0,0
9,467,A6,500,,,,0,1,0,0,0
9,468,A6,500,,,,1,0,1,0,0
9,469,A6,500,,,,1,0,0,0,0
9,470,A6,500,,,,1,0,0,0,0
9,471,A6,500,,,,1,0,0,0,0
9,472,A6,500,,,,1,0,0,0,0
9,473,A6,500,,,,1,0,0,0,0
9,474,A6,500,,,,1,0,0,0,0
9,475,A6,500,,,,1,0,0,0,0
9,476,A6,500,,,,1,0,0,0,0
